Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
123,0.993567121867,-8020.0,-8020.0,0.0111331055231,0.00232834654155,0.0,-0.00880475898153,0.00893728135023,3.74806292157,-910.247233625,-8020.0,1.32123915227,3,0.00440837897537
124,0.994152996801,-8020.0,-8020.0,0.0195173596646,-0.000501545144066,0.0,-0.0200189048086,0.00964361257062,3.63819731428,-910.247233625,-8020.0,1.29148831565,3,0.00331171150674
125,0.99419712931,-8020.0,-8020.0,0.015092565382,0.00325180171946,0.0,-0.0118407636625,0.00732256831038,4.33806157398,-910.247233625,-8020.0,1.4674276064,3,0.00156922339772
126,0.994112258603,-8020.0,-8020.0,0.0156642783394,0.00680097967112,0.0,-0.00886329866831,0.00833824508901,4.44591893744,-910.247233625,-8020.0,1.49198658268,3,0.001738113037
127,0.784826142862,-5645.0,-8020.0,0.0,-0.00581098786592,1119.58573688,-0.00581098786592,0.0089693485205,4.16669790117,-743.589653558,-7228.33333333,1.42712385189,3,0.0089693485205
128,0.230147927004,2473.75,-8020.0,0.0,0.00662968275817,4946.80119005,0.00662968275817,0.024441998882,4.34801294973,-381.894734107,-4522.08333333,1.46971894757,3,0.024441998882
129,-2.53222873849,-5763.75,-8020.0,0.0,-0.00963826410503,1063.60645003,-0.00963826410503,0.015771216125,4.61436987189,-884.151261097,-7267.91666667,1.5291753195,3,0.015771216125
130,-0.34422260074,2773.75,-4876.25,0.0,-0.001266255754,3334.94882728,-0.001266255754,0.0123238730592,4.18715716019,-357.476030926,-1878.33333333,1.43202202161,3,0.0123238730592
131,-0.787155447152,-6113.75,-8020.0,0.0,-0.00468763833967,840.206034586,-0.00468763833967,0.0119478336359,4.1738460164,-831.661632856,-7290.83333333,1.42883791684,3,0.0119478336359
132,0.687365349831,-5907.5,-8020.0,0.0239695912869,0.0105092108871,879.768751182,-0.0134603803997,0.0097166309949,4.50524097647,-841.52576332,-7086.66666667,1.50524138052,3,0.00810532467783
133,0.954358970016,-8020.0,-8020.0,0.00568252145122,0.00184279742656,0.0,-0.00383972402467,0.00846625230019,4.29939091857,-910.247233625,-8020.0,1.45847336582,3,0.000870171492253
134,0.323339363766,-3176.25,-8020.0,0.00711854320677,-0.00723101927214,1986.00791301,-0.0143495624789,0.00976584290381,4.14948090604,-517.351189497,-5728.33333333,1.42298324354,3,0.00876386828242
135,0.321127578455,5598.75,-8020.0,0.0,-0.00723164342584,6419.94031752,-0.00723164342584,0.0226343140441,4.17850100627,-58.1504602798,-3480.41666667,1.42995257128,3,0.0226343140441
136,-3.0415793369,2711.25,-3820.0,0.0,0.0107707507608,2957.75962747,0.0107707507608,0.0147768051156,4.24841178545,309.036947353,350.833333333,1.44654521555,3,0.0147768051156
137,-0.354100184666,-4920.0,-8020.0,0.0,-0.00503507972047,1461.35401445,-0.00503507972047,0.0152474665087,4.01829735387,-874.157415728,-6986.66666667,1.3908582691,3,0.0152474665087
